PrimaryKey,Index Value
1036.0,115503
1037.0,115603
1038.0,115717
1039.0,115827
1040.0,115946
1041.0,116036
1042.0,116251
1043.0,116347
1044.0,116446
1045.0,116537
1046.0,116633
1047.0,116741
1048.0,116853
1049.0,116976
1050.0,117072
1051.0,117181
1052.0,117262
1053.0,117392
1054.0,117506
1055.0,117608
1056.0,117762
1057.0,117862
1058.0,117987
1059.0,118080
1060.0,118210
1061.0,118328
1062.0,118454
1063.0,118563
1064.0,118669
1065.0,118816
1066.0,118936
1067.0,119038
1068.0,119157
1069.0,119254
1070.0,119345
1071.0,119448
1072.0,119554
1073.0,119664
1074.0,119758
1075.0,119878
1076.0,120011
1077.0,120177
1078.0,120271
1079.0,120370
1080.0,120565
1081.0,120696
1082.0,120801
1083.0,120902
1084.0,121029
1085.0,121129
1086.0,121246
1087.0,121350
1088.0,121466
1089.0,121586
1090.0,121728
1091.0,121817
1092.0,121891
1093.0,122018
1094.0,122128
1095.0,122229
1096.0,122332
1097.0,122425
1098.0,122550
1099.0,122690
1100.0,122805
1101.0,122931
1102.0,123030
1103.0,123135
1104.0,123244
1105.0,123342
1106.0,123450
1107.0,123568
1108.0,123670
1109.0,123782
1110.0,123920
1111.0,124017
1112.0,124097
1113.0,124222
1114.0,124341
1115.0,124444
1116.0,124565
1117.0,124672
1118.0,124775
1119.0,124872
1120.0,124970
1121.0,125098
1122.0,125225
1123.0,125352
1124.0,125444
1125.0,125542
1126.0,125688
1127.0,125789
1128.0,125894
1129.0,126004
1130.0,126095
1131.0,126182
1132.0,126289
1133.0,126449
1134.0,126542
1135.0,126714
1136.0,126826
1137.0,126932
1138.0,127046
1139.0,127161
1140.0,127336
1141.0,127423
1142.0,127525
1143.0,127617
1144.0,127743
1145.0,127847
1146.0,127963
1147.0,128069
1148.0,128180
1149.0,128290
1150.0,128403
1151.0,128556
1152.0,128671
1153.0,128801
1154.0,128925
1155.0,129027
1156.0,129150
1157.0,129255
1158.0,129350
1159.0,129465
1160.0,129571
1161.0,129658
1162.0,129800
1163.0,129959
1164.0,130079
1165.0,130166
1166.0,130279
1167.0,130400
1168.0,130531
1169.0,130637
1170.0,130749
1171.0,130855
1172.0,130967
1173.0,131088
1174.0,131199
1175.0,131353
1176.0,131468
1177.0,131584
1178.0,131696
1179.0,131796
1180.0,131908
1181.0,132036
1182.0,132163
1183.0,132299
1184.0,132411
1185.0,132532
1186.0,132637
1187.0,132740
1188.0,132843
1189.0,132938
1190.0,133050
1191.0,133169
1192.0,133259
1193.0,133402
1194.0,133543
1195.0,133656
1196.0,133789
1197.0,133926
1198.0,134026
1199.0,134175
1200.0,134324
1201.0,134463
1202.0,134590
1203.0,134697
1204.0,134805
1205.0,134911
1206.0,135032
1207.0,135192
1208.0,135293
1209.0,135399
1210.0,135517
1211.0,135629
1212.0,135778
1213.0,135921
1214.0,136101
1215.0,136182
1216.0,136303
1217.0,136418
1218.0,136540
1219.0,136658
1220.0,136767
1221.0,136889
1222.0,137006
1223.0,137130
1224.0,137273
1225.0,137415
1226.0,137525
1227.0,137631
1228.0,137768
1229.0,137872
1230.0,138024
1231.0,138157
1232.0,138288
1233.0,138365
1234.0,138496
1235.0,138596
1236.0,138703
1237.0,138827
1238.0,138926
1239.0,139062
1240.0,139155
1241.0,139252
1242.0,139358
1243.0,139467
1244.0,139546
1245.0,139697
1246.0,139818
1247.0,139934
1248.0,140037
1249.0,140121
1250.0,140232
1251.0,140333
1252.0,140433
1253.0,140534
1254.0,140649
1255.0,140763
1256.0,140861
1257.0,140957
1258.0,141099
1259.0,141219
1260.0,141306
1261.0,141418
1262.0,141518
1263.0,141629
1264.0,141740
1265.0,141831
1266.0,141948
1267.0,142063
1268.0,142193
1269.0,142303
1270.0,142415
1271.0,142519
1272.0,142613
1273.0,142734
1274.0,142864
1275.0,142989
1276.0,143079
1277.0,143188
1278.0,143306
1279.0,143412
1280.0,143556
1281.0,143650
1282.0,143776
1283.0,143914
1284.0,144012
1285.0,144126
1286.0,144256
1287.0,144347
1288.0,144436
1289.0,144549
1290.0,144659
1291.0,144745
1292.0,144853
1293.0,144950
1294.0,145042
1295.0,145155
1296.0,145274
1297.0,145372
1298.0,145480
1299.0,145598
1300.0,145741
1301.0,145839
1302.0,145950
1303.0,146055
1304.0,146170
1305.0,146310
1306.0,146433
1307.0,146551
1308.0,146647
1309.0,146798
1310.0,146883
1311.0,146999
1312.0,147105
1313.0,147208
1314.0,147323
1315.0,147432
1316.0,147562
1317.0,147668
1318.0,147830
1319.0,147934
1320.0,148025
1321.0,148132
1322.0,148284
1323.0,148414
1324.0,148515
1325.0,148612
1326.0,148712
1327.0,148863
1328.0,148955
1329.0,149053
1330.0,149164
1331.0,149254
1332.0,149377
1333.0,149476
1334.0,149628
1335.0,149722
1336.0,149829
1337.0,149988
1338.0,150104
1339.0,150223
1340.0,150341
1341.0,150503
1342.0,150636
1343.0,150778
1344.0,150897
1345.0,151008
1346.0,151132
1347.0,151246
1348.0,151369
1349.0,151487
1350.0,151620
1351.0,151727
1352.0,151844
1353.0,151967
1354.0,152065
1355.0,152159
1356.0,152253
1357.0,152371
1358.0,152487
1359.0,152610
1360.0,152716
1361.0,152811
1362.0,152921
1363.0,153038
1364.0,153169
1365.0,153292
1366.0,153423
1367.0,153517
1368.0,153596
1369.0,153711
1370.0,153813
1371.0,153952
1372.0,154092
1373.0,154185
1374.0,154288
1375.0,154397
1376.0,154507
1377.0,154631
1378.0,154774
1379.0,154909
1380.0,155009
1381.0,155129
1382.0,155219
1383.0,155324
1384.0,155435
1385.0,155542
1386.0,155664
1387.0,155758
1388.0,155886
1389.0,155982
1390.0,156121
1391.0,156211
1392.0,156308
1393.0,156405
1394.0,156503
1395.0,156617
1396.0,156714
1397.0,156798
1398.0,156907
1399.0,157015
1400.0,157107
1401.0,157215
1402.0,157318
1403.0,157434
1404.0,157540
1405.0,157673
1406.0,157772
1407.0,157889
1408.0,158006
1409.0,158135
1410.0,158252
1411.0,158338
1412.0,158445
1413.0,158568
1414.0,158714
1415.0,158819
1416.0,158921
1417.0,159052
1418.0,159164
1419.0,159244
1420.0,159358
1421.0,159494
1422.0,159612
